gloss1,gloss2,video1,video2,dtw_distance
Children,Hospital,../all_outputs/output_ssl_small/Children/1-2-w01720221103121056.mp4_1.pkl,../all_outputs/output_include/Places/Hospital/MVI_3641.pkl,123.59461829734558
Video,Hospital,../all_outputs/output_ssl_small/Video/1-2-w02220221103121901.mp4_1.pkl,../all_outputs/output_include/Places/Hospital/MVI_3641.pkl,123.60528541122999
See,Dress,../all_outputs/output_ssl_small/See/2-2-w04020221110105049.mp4_1.pkl,../all_outputs/output_include/Clothes/Dress/MVI_5010.pkl,123.60859872458506
Start,Sport,../all_outputs/output_ssl_small/Start/4-4-w04520221216133050.mp4_1.pkl,../all_outputs/output_include/Society/Sport/MVI_8724.pkl,123.61752540650906
Good,Kitchen,../all_outputs/output_ssl_small/Good/2-3-w01120221110100859.mp4_1.pkl,../all_outputs/output_include/Home/Kitchen/MVI_4375.pkl,123.6296272482053
See?,Book,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_4915.pkl,123.64454862197672
Stay?,Book,../all_outputs/output_ssl_small/Stay?/3-5-w05420221216134811.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_4915.pkl,123.65696773888111
Ten_People,Neighbour,../all_outputs/output_ssl_small/Ten_People/1-1-w02020221103121410.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,123.67476680961074
What,small_little,../all_outputs/output_ssl_small/What/4-3-w05020221216134123.mp4_1.pkl,../all_outputs/output_include/Adjectives/small_little/MVI_5127.pkl,123.68987951435658
Good,Radio,../all_outputs/output_ssl_small/Good/2-3-w01120221110100859.mp4_1.pkl,../all_outputs/output_include/Electronics/Radio/MVI_4562.pkl,123.69079565960614
Tuesday,Husband,../all_outputs/output_ssl_small/Tuesday/2-1-w02720221110103149.mp4_1.pkl,../all_outputs/output_include/People/Husband/MVI_3945.pkl,123.69169701635687
Good,Crowd,../all_outputs/output_ssl_small/Good/2-3-w01120221110100859.mp4_1.pkl,../all_outputs/output_include/People/Crowd/MVI_5003.pkl,123.69690137804461
See?,Family,../all_outputs/output_ssl_small/See?/4-5-w05520221216134855.mp4_1.pkl,../all_outputs/output_include/People/Family/MVI_8635.pkl,123.70673665462755
Big,School,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Places/School/MVI_3291.pkl,123.70972093108003
Thank_You,Red,../all_outputs/output_ssl_small/Thank_You/1-1-w04720221103114714.mp4_1.pkl,../all_outputs/output_include/Colours/Red/MVI_5038.pkl,123.73953803194438
Holiday,Crowd,../all_outputs/output_ssl_small/Holiday/1-3-w06220221103120650.mp4_1.pkl,../all_outputs/output_include/People/Crowd/MVI_5003.pkl,123.74163728417268
Yes,Red,../all_outputs/output_ssl_small/Yes/1-1-w06320221103120755.mp4_1.pkl,../all_outputs/output_include/Colours/Red/MVI_5038.pkl,123.74357308354021
Big,Chair,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_4874.pkl,123.7444178363858
Tomorrow,long,../all_outputs/output_ssl_small/Tomorrow/4-4-w01520221216121456.mp4_1.pkl,../all_outputs/output_include/Adjectives/long/MVI_9300.pkl,123.74553057074814
Go,happy,../all_outputs/output_ssl_small/Go/4-4-w03620221216131954.mp4_1.pkl,../all_outputs/output_include/Adjectives/happy/MVI_5183.pkl,123.75396360540132
Make,Ground,../all_outputs/output_ssl_small/Make/1-5-w03820221103113520.mp4_1.pkl,../all_outputs/output_include/Places/Ground/MVI_3659.pkl,123.75530550488355
Relationship,Bed,../all_outputs/output_ssl_small/Relationship/1-3-w02320221103122040.mp4_1.pkl,../all_outputs/output_include/Home/Bed/MVI_8760.pkl,123.76160447086347
How_many,Bed,../all_outputs/output_ssl_small/How_many/1-4-w05120221103115238.mp4_1.pkl,../all_outputs/output_include/Home/Bed/MVI_8760.pkl,123.76263411308172
Sinhala,Bathroom,../all_outputs/output_ssl_small/Sinhala/4-3-w01820221216121929.mp4_1.pkl,../all_outputs/output_include/Home/Bathroom/MVI_9025.pkl,123.77963723666579
Teach,Brown,../all_outputs/output_ssl_small/Teach/2-3-w03320221110103825.mp4_1.pkl,../all_outputs/output_include/Colours/Brown/MVI_5050.pkl,123.78290687110447
