gloss1,gloss2,video1,video2,dtw_distance
Hello,Laptop,../all_outputs/output_ssl_small/Hello/4-2-w03920221216132353.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_4546.pkl,91.00807218825152
Read,Box,../all_outputs/output_ssl_small/Read/3-2-w04620221216133123.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8842.pkl,91.084462964664
Big,Box,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8842.pkl,91.12269878728375
w064,Week,../all_outputs/output_ssl_small/w064/1-5-w06420221103120953.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Week/MVI_4629.pkl,91.13190978934465
Exam,Grey,../all_outputs/output_ssl_small/Exam/1-5-w02620221103122639.mp4_1.pkl,../all_outputs/output_include/Colours/Grey/MVI_5065.pkl,91.29200987808254
w064,Wednesday,../all_outputs/output_ssl_small/w064/2-4-w06420221110112958.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Wednesday/MVI_5457.pkl,91.3299381184658
Hello,T-Shirt,../all_outputs/output_ssl_small/Hello/3-4-w03920221216132406.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl,91.36309351006344
Read,Cat,../all_outputs/output_ssl_small/Read/3-2-w04620221216133123.mp4_1.pkl,../all_outputs/output_include/Animals/Cat/MVI_8562.pkl,91.59648598732683
Make,Medicine,../all_outputs/output_ssl_small/Make/1-3-w03820221103113502.mp4_1.pkl,../all_outputs/output_include/Society/Medicine/MVI_8668.pkl,91.62100785788216
Thank_You,Week,../all_outputs/output_ssl_small/Thank_You/1-5-w04720221103114751.mp4_1.pkl,../all_outputs/output_include/Days_and_Time/Week/MVI_5482.pkl,91.7673161823381
University,Fish,../all_outputs/output_ssl_small/University/1-2-w00920221103111557.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,91.76877272857992
To_You,Letter,../all_outputs/output_ssl_small/To_You/3-4-w00120221216115550.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,91.76885962580631
Hello,Lawyer,../all_outputs/output_ssl_small/Hello/4-2-w03920221216132353.mp4_1.pkl,../all_outputs/output_include/Jobs/Lawyer/MVI_4469.pkl,91.79615362471054
Me,Letter,../all_outputs/output_ssl_small/Me/3-5-w00320221216115837.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,91.88843882340034
There,Chair,../all_outputs/output_ssl_small/There/4-4-w05920221216135549.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_8756.pkl,91.90524825486581
Children,Window,../all_outputs/output_ssl_small/Children/4-1-w01720221216121716.mp4_1.pkl,../all_outputs/output_include/Home/Window/MVI_8767.pkl,91.94788495435519
Read,Laptop,../all_outputs/output_ssl_small/Read/1-4-w04620221103114631.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_5402.pkl,92.00493336900342
See,Book,../all_outputs/output_ssl_small/See/3-2-w04020221216132441.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_8804.pkl,92.01959253210032
My,T-Shirt,../all_outputs/output_ssl_small/My/2-1-w03020221110103507.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_3850.pkl,92.07087542190318
Thank_You,Shoes,../all_outputs/output_ssl_small/Thank_You/4-3-w04720221216133242.mp4_1.pkl,../all_outputs/output_include/Clothes/Shoes/MVI_4204.pkl,92.08545919622345
Staying,Page,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Home/Page/MVI_4920.pkl,92.22921847767877
Make,Car,../all_outputs/output_ssl_small/Make/3-3-w03820221216132308.mp4_1.pkl,../all_outputs/output_include/Means_of_Transportation/Car/MVI_4176.pkl,92.23191313740227
Video,Bag,../all_outputs/output_ssl_small/Video/1-4-w02220221103121920.mp4_1.pkl,../all_outputs/output_include/Home/Bag/MVI_8839.pkl,92.27605130159266
Hello,Tool,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Home/Tool/MVI_4958.pkl,92.29468760268334
Thank_You,Radio,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Electronics/Radio/MVI_5419.pkl,92.32835730160942
Exam,Fish,../all_outputs/output_ssl_small/Exam/1-4-w02620221103122631.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8566.pkl,92.46122035560347
Good,Bag,../all_outputs/output_ssl_small/Good/3-4-w01120221216120949.mp4_1.pkl,../all_outputs/output_include/Home/Bag/MVI_4941.pkl,92.48025400276005
Hello,Season,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Seasons/Season/MVI_4582.pkl,92.53027226365913
Sister,Train,../all_outputs/output_ssl_small/Sister/2-3-w00820221110100411.mp4_1.pkl,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl,92.62228916022305
Sinhala,Letter,../all_outputs/output_ssl_small/Sinhala/3-5-w01820221216121748.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,92.64677432374295
Go,Chair,../all_outputs/output_ssl_small/Go/2-5-w03620221110104518.mp4_1.pkl,../all_outputs/output_include/Home/Chair/MVI_9005.pkl,92.66910710622135
Video,Box,../all_outputs/output_ssl_small/Video/1-1-w02220221103121852.mp4_1.pkl,../all_outputs/output_include/Home/Box/MVI_8844.pkl,92.78032830929698
Thank_You,Family,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/People/Family/MVI_5249.pkl,92.7918365537676
Children,Cow,../all_outputs/output_ssl_small/Children/4-4-w01720221216121840.mp4_1.pkl,../all_outputs/output_include/Animals/Cow/MVI_2991.pkl,92.79495373479638
Please,Letter,../all_outputs/output_ssl_small/Please/2-2-w06020221110112120.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,92.91582259391566
My,Tool,../all_outputs/output_ssl_small/My/2-1-w03020221110103507.mp4_1.pkl,../all_outputs/output_include/Home/Tool/MVI_8863.pkl,92.92617310737819
My,Fish,../all_outputs/output_ssl_small/My/3-4-w03020221216124658.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,93.13435548242605
Teach,Book,../all_outputs/output_ssl_small/Teach/1-1-w03320221103112612.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_8804.pkl,93.22449148024104
Staying,Laptop,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_5402.pkl,93.40319039504584
Hello,Train Station,../all_outputs/output_ssl_small/Hello/4-2-w03920221216132353.mp4_1.pkl,../all_outputs/output_include/Places/Train Station/MVI_3525.pkl,93.47613998803716
Good,T-Shirt,../all_outputs/output_ssl_small/Good/2-5-w01120221110100916.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl,93.4930424007715
Teach,Bill,../all_outputs/output_ssl_small/Teach/4-1-w03320221216131332.mp4_1.pkl,../all_outputs/output_include/Society/Bill/MVI_8673.pkl,93.59491333008397
w064,Letter,../all_outputs/output_ssl_small/w064/2-4-w06420221110112958.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8824.pkl,93.66860966231997
No,Sign,../all_outputs/output_ssl_small/No/4-4-w04220221216132716.mp4_1.pkl,../all_outputs/output_include/Society/Sign/MVI_8989.pkl,93.84768695852006
See,Ground,../all_outputs/output_ssl_small/See/1-1-w04020221103113749.mp4_1.pkl,../all_outputs/output_include/Places/Ground/MVI_3580.pkl,93.88515768326761
Hello,God,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Society/God/MVI_8748.pkl,93.88959153648432
Big,Fish,../all_outputs/output_ssl_small/Big/4-5-w01020221216120950.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_3093.pkl,93.98080227177974
Big,Bedroom,../all_outputs/output_ssl_small/Big/4-5-w01020221216120950.mp4_1.pkl,../all_outputs/output_include/Home/Bedroom/MVI_8774.pkl,93.98643474456763
Staying,Letter,../all_outputs/output_ssl_small/Staying/3-5-w03220221216131429.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,94.0320723033516
Twenty,Fish,../all_outputs/output_ssl_small/Twenty/3-3-w05820221216135059.mp4_1.pkl,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl,94.13762461350723
Start,Laptop,../all_outputs/output_ssl_small/Start/4-1-w04520221216133029.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_4546.pkl,94.16287743527664
Do,Letter,../all_outputs/output_ssl_small/Do/2-3-w03720221110104550.mp4_1.pkl,../all_outputs/output_include/Home/Letter/MVI_8822.pkl,94.32875698890865
Thank_You,Thank_you,../all_outputs/output_ssl_small/Thank_You/1-3-w04720221103114732.mp4_1.pkl,../all_outputs/output_include/Greetings/Thank_you/MVI_9948.pkl,94.39199546686574
Hello,Animal,../all_outputs/output_ssl_small/Hello/4-5-w03920221216132418.mp4_1.pkl,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl,94.39547389456726
Age,Radio,../all_outputs/output_ssl_small/Age/1-3-w02820221103122816.mp4_1.pkl,../all_outputs/output_include/Electronics/Radio/MVI_9119.pkl,94.46526580313751
Sorry,Child,../all_outputs/output_ssl_small/Sorry/4-5-w04120221216132628.mp4_1.pkl,../all_outputs/output_include/People/Child/MVI_4244.pkl,94.4870232819839
Please,Paper,../all_outputs/output_ssl_small/Please/4-4-w06020221216135826.mp4_1.pkl,../all_outputs/output_include/Home/Paper/MVI_8829.pkl,94.48986356163964
Age,Animal,../all_outputs/output_ssl_small/Age/4-2-w02820221216124135.mp4_1.pkl,../all_outputs/output_include/Animals/Animal/MVI_4167.pkl,94.52334252769013
Big,Ground,../all_outputs/output_ssl_small/Big/3-3-w01020221216120836.mp4_1.pkl,../all_outputs/output_include/Places/Ground/MVI_3580.pkl,94.61665826920073
