Model,Accuracy,Accuracy_Fixed_Testing,F1,F1_Fixed_Testing,Epochs,Epochs_Fixed_Testing,Base_Model_Class,FT/Direct_Classes,FT/T_Instance_per_class,Model_Type,Overlapping
200 Class ISL Base Model Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),0.5838 (±0.0125),0.5988 (±0.0191),0.5755 (±0.0117),0.5979 (±0.0161),57.2000 (±5.5642),64.6000 (±12.1095),200,48,3,FINETUNED,No
160 Class ISL Base Model Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),0.5873 (±0.0212),0.6387 (±0.0205),0.5742 (±0.0204),0.6276 (±0.0207),68.4000 (±6.4992),82.8000 (±13.0445),160,48,3,FINETUNED,No
120 Class ISL Base Model Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),0.5745 (±0.0249),0.5768 (±0.0188),0.5621 (±0.0259),0.5709 (±0.0197),66.2000 (±6.7941),74.6000 (±15.6920),120,48,3,FINETUNED,No
80 Class ISL Base Model Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),0.6118 (±0.0328),0.6387 (±0.0128),0.6017 (±0.0339),0.6307 (±0.0107),87.0000 (±20.7171),87.4000 (±7.6577),80,48,3,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),0.5706 (±0.0243),0.5631 (±0.0161),0.5547 (±0.0268),0.5476 (±0.0136),89.4000 (±11.8423),81.4000 (±5.2764),80,48,3,FINETUNED,Yes
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 48 Class SSL- 3 Instance Per Class (5 runs avg),,0.5679 (±0.0246),,0.5611 (±0.0188),,96.0000 (±14.1563),80,48,3,FINETUNED,Movement
240 Class ISL Base Model Finetuned with 48 Class SSL- 2 Instance per Class (5 runs avg),0.4787 (±0.0391),0.5071 (±0.0211),0.4746 (±0.0352),0.5059 (±0.0207),57.4000 (±8.6856),62.2000 (±6.0133),240,48,2,FINETUNED,No
200 Class ISL Base Model Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),0.4569 (±0.0326),0.4821 (±0.0381),0.4508 (±0.0305),0.4800 (±0.0376),55.2000 (±10.2450),63.2000 (±17.1161),200,48,2,FINETUNED,No
160 Class ISL Base Model Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),0.4829 (±0.0583),0.4310 (±0.0260),0.4796 (±0.0608),0.4247 (±0.0255),69.6000 (±18.6719),71.4000 (±16.6685),160,48,2,FINETUNED,No
120 Class ISL Base Model Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),0.4611 (±0.0206),0.4732 (±0.0260),0.4484 (±0.0241),0.4594 (±0.0269),53.4000 (±8.5229),63.8000 (±10.3034),120,48,2,FINETUNED,No
